bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,price,zipcode
4,2.5,2800,246114,0,739000,98014
5,3,3730,5500,0,979700,98102
2,1,770,2971,0,407500,98102
3,1.75,1800,23103,0,284000,98014
3,1.75,2340,5500,0,982218,98102
4,3.25,4200,210394,0,1650000,98024
4,2,1880,14653,0,407193,98014
3,2.75,2240,3600,0,625000,98102
3,3,2060,3200,0,800000,98102
3,3.25,2970,234788,0,721500,98024
4,2.5,2040,5523,0,345000,98148
3,1.5,1260,7964,0,245000,98148
4,2.25,2400,7738,0,278000,98148
3,2.5,1656,108900,0,462500,98070
4,5.25,6500,14986,0,2460000,98039
2,1.75,1980,44550,0,428000,98070
4,1.75,2140,49658,0,360000,98010
3,2,2070,9600,0,1350000,98039
2,1,570,81893,0,260000,98070
3,1.5,1010,10350,0,240000,98032
2,0.75,840,40642,1,528000,98070
2,1,1180,10200,0,244000,98148
2,2.25,3170,3000,0,1700000,98109
3,1,2230,3200,0,770000,98109
4,2.25,2920,46355,0,740000,98024
1,1,1060,54846,1,285000,98070
4,5.25,5240,320917,0,1860000,98024
3,2,1560,3200,0,539950,98109
3,2,1640,13249,0,280000,98032
3,2.5,2235,43560,0,337000,98010
3,2.5,2200,1970,0,1050000,98102
0,0.75,384,213444,0,265000,98070
3,3.5,3600,37982,0,660000,98014
2,1,1090,3160,0,474000,98109
3,2,2660,257875,0,650000,98024
2,1,1450,7098,0,822500,98109
3,2.75,2260,4000,0,705000,98109
5,2.5,1660,4000,0,780000,98109
3,2,1670,17071,0,325000,98014
3,1.75,1430,53628,0,520000,98024
4,2.25,2000,10679,0,330000,98148
3,1,920,8400,0,206000,98032
4,2.25,2250,12000,0,287500,98032
3,1.75,2700,18893,0,625000,98010
4,1.75,1320,7694,0,195000,98148
3,1.5,1180,7384,0,250200,98032
4,2.75,1970,37026,0,395000,98070
3,1.5,1400,14850,0,383000,98070
3,2.5,2680,87117,0,475000,98024
3,1.5,1030,8223,0,267000,98148
5,3.5,2990,212137,0,750000,98024
3,1.75,2610,6360,0,1000000,98109
2,1,1130,2640,0,631500,98109
3,3.5,4660,5500,0,2150000,98102
2,1,1130,15190,0,239000,98032
3,1.75,2060,58341,0,510000,98070
5,3,4290,20445,0,2680000,98039
4,2.25,2140,8800,0,245000,98032
4,2.25,3250,16684,0,1410000,98039
3,1,940,11055,0,180000,98032
4,2.5,3070,34412,0,1920000,98039
3,1.75,1480,8009,0,268000,98032
4,3,2240,6000,0,1190000,98109
5,2,2940,5500,0,950000,98102
2,1,830,26329,1,385000,98070
4,3.5,3400,234352,0,475000,98070
2,1,1500,4000,0,736000,98109
3,1.75,2190,17550,0,375000,98014
3,1.5,1980,4000,0,707000,98109
2,1.75,2040,28593,1,615000,98070
4,1.5,3160,19745,0,335000,98010
5,6,5490,19897,0,3640000,98039
4,3.5,3110,6829,0,600600,98148
6,2.5,2000,7650,0,265000,98032
3,1,960,213008,0,200000,98024
4,3.25,3990,18115,0,2720000,98039
3,1,1200,8470,0,178500,98032
3,3.5,1650,1577,0,495000,98109
2,1,880,4814,0,208500,98010
2,2,1200,1867,0,478000,98109
3,1,1200,7280,0,215000,98032
4,3.5,4065,18713,0,1950000,98039
4,3.25,3770,4103,0,1450000,98109
0,0,290,20875,0,142000,98024
5,1.5,1820,8712,0,278000,98032
3,1.75,1810,34500,0,299500,98032
4,1,1390,18000,0,234000,98032
2,1,940,6000,0,246500,98148
3,1.75,1950,15037,0,323000,98014
3,2,2440,23512,0,338000,98148
3,2,2100,31550,0,399000,98014
3,1,1300,6098,0,155000,98014
4,3.5,2860,2199,0,1450000,98102
3,3.25,3890,3452,0,2250000,98102
4,2.5,2610,7227,0,390000,98010
5,3.5,4000,9234,0,802945,98024
2,1.75,1728,95950,0,730000,98070
2,2.5,1611,2210,0,850000,98109
3,2.75,2600,64626,0,415000,98014
3,2.5,1380,1389,0,527500,98102
3,2.5,3490,28213,0,692000,98070
3,2.5,1660,1344,0,975000,98102
3,2.5,1300,1590,0,675000,98109
2,1,710,1131,0,399950,98102
5,5.25,3410,8118,0,2250000,98039
3,3.25,1510,2064,0,675000,98109
3,2.75,2990,207781,0,785000,98014
4,3.5,3720,213073,0,780000,98010
2,1.75,1180,904,0,659000,98102
5,4.5,4000,6713,0,771005,98024
3,1.75,1444,249126,0,420000,98070
4,5.5,6530,871200,0,1600000,98014
2,1.75,1180,900,0,664950,98102
4,2.5,2229,5723,0,324950,98032
3,2.5,1480,1485,0,584000,98102
2,2.25,1060,1209,0,505000,98102
2,2,1490,713,0,700000,98109
2,2.5,1680,1240,0,653500,98102
2,2.25,1060,1208,0,499950,98102
4,3,2530,10000,0,459000,98148
3,2,1720,15000,0,441000,98014
3,2.25,1300,907,0,562500,98102
4,3,2770,2650,0,1110000,98109
3,2.75,1540,1251,0,650000,98102
3,2.5,1820,374616,0,580000,98014
3,3,3180,2758,0,1330000,98109
2,2.5,1990,1756,0,690000,98102
6,2.25,3206,5793,0,375000,98032
3,3,1384,1287,0,575000,98102
3,3.25,1610,1275,0,630000,98102
3,3.25,1690,1473,0,600000,98109
3,3.25,3530,4920,0,1550000,98109
3,2.5,1500,1119,0,605000,98109
3,2,1420,1369,0,550000,98109
5,4,5190,14600,0,2900000,98039
3,2.5,1990,1891,0,1080000,98102
3,2.5,3150,151588,0,720000,98024
2,1.75,1160,2500,0,310000,98014
3,1.75,1370,1990,0,720000,98102
3,1.5,1680,8000,0,425000,98014
4,2.5,2990,7928,0,440000,98010
3,1.5,2580,47480,0,332220,98024
3,1.75,1790,66250,0,320000,98014
4,3.25,3540,159430,0,800000,98014
4,4,4620,130208,0,1460000,98024
4,3.75,3790,8797,0,1870000,98039
4,3,1670,2642,0,710200,98109
2,1,710,1157,0,399950,98102
3,1.75,1500,11968,0,224000,98010
